VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20200148	1	19.11.2018	5	5	1	3010
20200148	1	19.11.2018	3	3	1	6304
20200148	1	19.11.2018	2	2	1	4512
20200148	1	19.11.2018	4	4	1	4280
20200148	1	19.11.2018	5	5	1	5240
20200148	1	19.11.2018	2	2	1	5728
20200148	1	19.11.2018	2	2	1	5472
20200148	1	19.11.2018	3	3	1	3304
20200148	1	19.11.2018	4	4	1	4648
20200148	1	19.11.2018	1	1	1	4744
20200148	1	19.11.2018	5	5	1	3833
20200148	1	19.11.2018	4	4	1	5767
20200148	1	19.11.2018	1	1	1	4672
20200148	1	19.11.2018	1	1	1	4664
20200148	1	19.11.2018	3	3	1	5240
20200148	1	19.11.2018	3	3	1	3137
20200148	1	19.11.2018	3	5	0	3663
20200148	1	19.11.2018	5	1	0	6504
20200148	1	19.11.2018	5	4	0	2633
20200148	1	19.11.2018	5	5	1	6471
20200148	1	19.11.2018	5	4	0	10121
20200148	1	19.11.2018	3	3	1	4551
20200148	1	19.11.2018	5	2	0	7040
20200148	1	19.11.2018	1	1	1	4304
20200148	1	19.11.2018	3	3	1	5104
20200148	1	19.11.2018	4	4	1	5608
20200148	1	19.11.2018	1	3	0	8528
20200148	1	19.11.2018	3	2	0	14008
20200148	1	19.11.2018	3	3	1	6792
20200148	1	19.11.2018	1	5	0	15856
20200148	1	19.11.2018	5	1	0	6152
20200148	1	19.11.2018	2	2	1	6984
20200148	1	19.11.2018	3	3	1	5344
20200148	1	19.11.2018	5	4	0	9016
20200148	1	19.11.2018	2	2	1	8936
