VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20200339	1	13.12.2019	5	5	1	5591
20200339	1	13.12.2019	3	3	1	5628
20200339	1	13.12.2019	2	2	1	5348
20200339	1	13.12.2019	4	4	1	3645
20200339	1	13.12.2019	5	5	1	6189
20200339	1	13.12.2019	2	2	1	3420
20200339	1	13.12.2019	2	2	1	2597
20200339	1	13.12.2019	3	3	1	2734
20200339	1	13.12.2019	4	4	1	4940
20200339	1	13.12.2019	1	1	1	5461
20200339	1	13.12.2019	5	5	1	4501
20200339	1	13.12.2019	4	4	1	5981
20200339	1	13.12.2019	4	1	0	13917
20200339	1	13.12.2019	1	1	1	2677
20200339	1	13.12.2019	3	3	1	17221
20200339	1	13.12.2019	3	3	1	2845
20200339	1	13.12.2019	5	5	1	4909
20200339	1	13.12.2019	2	1	0	11717
20200339	1	13.12.2019	3	4	0	11876
20200339	1	13.12.2019	4	5	0	8429
20200339	1	13.12.2019	5	4	0	5949
20200339	1	13.12.2019	3	3	1	4428
20200339	1	13.12.2019	2	2	1	7205
20200339	1	13.12.2019	1	1	1	2317
20200339	1	13.12.2019	3	3	1	9516
20200339	1	13.12.2019	4	4	1	4028
20200339	1	13.12.2019	1	3	0	10062
20200339	1	13.12.2019	4	2	0	17045
20200339	1	13.12.2019	2	3	0	10907
20200339	1	13.12.2019	3	5	0	3621
20200339	1	13.12.2019	4	1	0	10908
20200339	1	13.12.2019	4	2	0	10733
20200339	1	13.12.2019	3	3	1	4806
20200339	1	13.12.2019	3	4	0	9789
20200339	1	13.12.2019	4	2	0	9157
