VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20100310	1	16.12.2019	5	5	1	3491
20100310	1	16.12.2019	4	3	0	8005
20100310	1	16.12.2019	2	2	1	5837
20100310	1	16.12.2019	4	4	1	4748
20100310	1	16.12.2019	5	5	1	14821
20100310	1	16.12.2019	2	2	1	5389
20100310	1	16.12.2019	2	2	1	3997
20100310	1	16.12.2019	3	3	1	4020
20100310	1	16.12.2019	4	4	1	5973
20100310	1	16.12.2019	1	1	1	4853
20100310	1	16.12.2019	5	5	1	4684
20100310	1	16.12.2019	4	4	1	5581
20100310	1	16.12.2019	1	1	1	16837
20100310	1	16.12.2019	1	1	1	11797
20100310	1	16.12.2019	3	3	1	4003
20100310	1	16.12.2019	3	3	1	3597
20100310	1	16.12.2019	5	5	1	4630
20100310	1	16.12.2019	2	1	0	9891
20100310	1	16.12.2019	4	4	1	4253
20100310	1	16.12.2019	3	5	0	7693
20100310	1	16.12.2019	1	4	0	20773
20100310	1	16.12.2019	3	3	1	7469
20100310	1	16.12.2019	2	2	1	4589
20100310	1	16.12.2019	1	1	1	7285
20100310	1	16.12.2019	3	3	1	18748
20100310	1	16.12.2019	4	4	1	4894
20100310	1	16.12.2019	4	3	0	17252
20100310	1	16.12.2019	2	2	1	13710
20100310	1	16.12.2019	2	3	0	17628
20100310	1	16.12.2019	3	5	0	9317
20100310	1	16.12.2019	1	1	1	18045
20100310	1	16.12.2019	1	2	0	13588
20100310	1	16.12.2019	5	3	0	11421
20100310	1	16.12.2019	5	4	0	16246
20100310	1	16.12.2019	2	2	1	17133
