VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20200522	1	16.9.2019	5	5	1	3099
20200522	1	16.9.2019	4	3	0	4960
20200522	1	16.9.2019	2	2	1	3288
20200522	1	16.9.2019	4	4	1	3488
20200522	1	16.9.2019	5	5	1	2528
20200522	1	16.9.2019	2	2	1	2528
20200522	1	16.9.2019	2	2	1	1744
20200522	1	16.9.2019	3	3	1	2504
20200522	1	16.9.2019	4	4	1	2512
20200522	1	16.9.2019	1	1	1	3336
20200522	1	16.9.2019	5	5	1	4320
20200522	1	16.9.2019	4	4	1	3768
20200522	1	16.9.2019	1	1	1	3912
20200522	1	16.9.2019	1	1	1	4224
20200522	1	16.9.2019	3	3	1	4104
20200522	1	16.9.2019	3	3	1	1336
20200522	1	16.9.2019	5	5	1	3520
20200522	1	16.9.2019	3	1	0	5888
20200522	1	16.9.2019	2	4	0	8056
20200522	1	16.9.2019	3	5	0	7816
20200522	1	16.9.2019	2	4	0	8072
20200522	1	16.9.2019	2	3	0	3920
20200522	1	16.9.2019	2	2	1	4016
20200522	1	16.9.2019	1	1	1	3728
20200522	1	16.9.2019	3	3	1	5816
20200522	1	16.9.2019	4	4	1	3600
20200522	1	16.9.2019	4	3	0	6976
20200522	1	16.9.2019	2	2	1	4008
20200522	1	16.9.2019	1	3	0	7432
20200522	1	16.9.2019	3	5	0	5952
20200522	1	16.9.2019	4	1	0	8280
20200522	1	16.9.2019	1	2	0	8664
20200522	1	16.9.2019	3	3	1	2504
20200522	1	16.9.2019	3	4	0	4872
20200522	1	16.9.2019	1	2	0	6864
