VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20200149	1	17.12.2018	5	5	1	3610
20200149	1	17.12.2018	3	3	1	4520
20200149	1	17.12.2018	2	2	1	2432
20200149	1	17.12.2018	4	4	1	4048
20200149	1	17.12.2018	4	5	0	9680
20200149	1	17.12.2018	2	2	1	2336
20200149	1	17.12.2018	2	2	1	1864
20200149	1	17.12.2018	3	3	1	2264
20200149	1	17.12.2018	4	4	1	5656
20200149	1	17.12.2018	1	1	1	2408
20200149	1	17.12.2018	5	5	1	4104
20200149	1	17.12.2018	1	4	0	4944
20200149	1	17.12.2018	1	1	1	1320
20200149	1	17.12.2018	1	1	1	5064
20200149	1	17.12.2018	3	3	1	3616
20200149	1	17.12.2018	3	3	1	1320
20200149	1	17.12.2018	5	5	1	4400
20200149	1	17.12.2018	3	1	0	4496
20200149	1	17.12.2018	4	4	1	4768
20200149	1	17.12.2018	5	5	1	4848
20200149	1	17.12.2018	3	4	0	12024
20200149	1	17.12.2018	3	3	1	1080
20200149	1	17.12.2018	2	2	1	2368
20200149	1	17.12.2018	1	1	1	5552
20200149	1	17.12.2018	3	3	1	4432
20200149	1	17.12.2018	4	4	1	3384
20200149	1	17.12.2018	4	3	0	8992
20200149	1	17.12.2018	2	2	1	2000
20200149	1	17.12.2018	1	3	0	3464
20200149	1	17.12.2018	5	5	1	4080
20200149	1	17.12.2018	4	1	0	5816
20200149	1	17.12.2018	5	2	0	4648
20200149	1	17.12.2018	5	3	0	5328
20200149	1	17.12.2018	3	4	0	6184
20200149	1	17.12.2018	5	2	0	6136
