VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20200157	1	7.1.2019	5	5	1	2959
20200157	1	7.1.2019	3	3	1	3742
20200157	1	7.1.2019	2	2	1	2278
20200157	1	7.1.2019	4	4	1	3038
20200157	1	7.1.2019	5	5	1	3006
20200157	1	7.1.2019	2	2	1	1894
20200157	1	7.1.2019	2	2	1	3582
20200157	1	7.1.2019	3	3	1	2790
20200157	1	7.1.2019	2	4	0	2142
20200157	1	7.1.2019	1	1	1	4310
20200157	1	7.1.2019	5	5	1	3390
20200157	1	7.1.2019	4	4	1	3766
20200157	1	7.1.2019	1	1	1	3022
20200157	1	7.1.2019	1	1	1	1494
20200157	1	7.1.2019	3	3	1	2534
20200157	1	7.1.2019	3	3	1	2766
20200157	1	7.1.2019	4	5	0	4158
20200157	1	7.1.2019	5	1	0	5318
20200157	1	7.1.2019	5	4	0	2350
20200157	1	7.1.2019	3	5	0	9150
20200157	1	7.1.2019	4	4	1	6574
20200157	1	7.1.2019	3	3	1	1886
20200157	1	7.1.2019	2	2	1	2022
20200157	1	7.1.2019	1	1	1	2655
20200157	1	7.1.2019	3	3	1	4093
20200157	1	7.1.2019	4	4	1	1726
20200157	1	7.1.2019	3	3	1	18774
20200157	1	7.1.2019	2	2	1	9934
20200157	1	7.1.2019	3	3	1	12630
20200157	1	7.1.2019	3	5	0	9214
20200157	1	7.1.2019	1	1	1	4542
20200157	1	7.1.2019	2	2	1	6630
20200157	1	7.1.2019	3	3	1	3438
20200157	1	7.1.2019	5	4	0	14046
20200157	1	7.1.2019	5	2	0	14046
