VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20100155	1	4.12.2018	5	5	1	6651
20100155	1	4.12.2018	3	3	1	5912
20100155	1	4.12.2018	2	2	1	3752
20100155	1	4.12.2018	4	4	1	4000
20100155	1	4.12.2018	5	5	1	7032
20100155	1	4.12.2018	2	2	1	3400
20100155	1	4.12.2018	2	2	1	2504
20100155	1	4.12.2018	3	3	1	4864
20100155	1	4.12.2018	4	4	1	4120
20100155	1	4.12.2018	1	1	1	4200
20100155	1	4.12.2018	5	5	1	4576
20100155	1	4.12.2018	4	4	1	7504
20100155	1	4.12.2018	1	1	1	4616
20100155	1	4.12.2018	1	1	1	3960
20100155	1	4.12.2018	3	3	1	3472
20100155	1	4.12.2018	3	3	1	4096
20100155	1	4.12.2018	2	5	0	10118
20100155	1	4.12.2018	1	1	1	4720
20100155	1	4.12.2018	4	4	1	6216
20100155	1	4.12.2018	4	5	0	7624
20100155	1	4.12.2018	5	4	0	7120
20100155	1	4.12.2018	3	3	1	5216
20100155	1	4.12.2018	2	2	1	4280
20100155	1	4.12.2018	1	1	1	2696
20100155	1	4.12.2018	3	3	1	3776
20100155	1	4.12.2018	4	4	1	5512
20100155	1	4.12.2018	1	3	0	6368
20100155	1	4.12.2018	2	2	1	2921
20100155	1	4.12.2018	1	3	0	9351
20100155	1	4.12.2018	5	5	1	9008
20100155	1	4.12.2018	2	1	0	9369
20100155	1	4.12.2018	2	2	1	5471
20100155	1	4.12.2018	3	3	1	3496
20100155	1	4.12.2018	3	4	0	13160
20100155	1	4.12.2018	5	2	0	6416
