VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20100160	1	15.1.2019	5	5	1	2922
20100160	1	15.1.2019	3	3	1	5845
20100160	1	15.1.2019	2	2	1	3959
20100160	1	15.1.2019	4	4	1	4310
20100160	1	15.1.2019	5	5	1	3870
20100160	1	15.1.2019	2	2	1	2302
20100160	1	15.1.2019	2	2	1	1710
20100160	1	15.1.2019	3	3	1	2438
20100160	1	15.1.2019	4	4	1	3269
20100160	1	15.1.2019	1	1	1	4663
20100160	1	15.1.2019	5	5	1	2989
20100160	1	15.1.2019	4	4	1	3350
20100160	1	15.1.2019	1	1	1	2991
20100160	1	15.1.2019	1	1	1	3118
20100160	1	15.1.2019	3	3	1	2950
20100160	1	15.1.2019	3	3	1	2877
20100160	1	15.1.2019	5	5	1	3191
20100160	1	15.1.2019	1	1	1	3806
20100160	1	15.1.2019	4	4	1	4150
20100160	1	15.1.2019	4	5	0	6389
20100160	1	15.1.2019	1	4	0	7438
20100160	1	15.1.2019	3	3	1	2350
20100160	1	15.1.2019	2	2	1	1982
20100160	1	15.1.2019	1	1	1	1670
20100160	1	15.1.2019	3	3	1	2766
20100160	1	15.1.2019	4	4	1	2743
20100160	1	15.1.2019	1	3	0	6846
20100160	1	15.1.2019	5	2	0	6222
20100160	1	15.1.2019	1	3	0	5429
20100160	1	15.1.2019	2	5	0	4398
20100160	1	15.1.2019	5	1	0	7246
20100160	1	15.1.2019	2	2	1	4575
20100160	1	15.1.2019	3	3	1	2734
20100160	1	15.1.2019	3	4	0	6374
20100160	1	15.1.2019	5	2	0	4413
