VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20100564	1	10.12.2019	5	5	1	5078
20100564	1	10.12.2019	3	3	1	5624
20100564	1	10.12.2019	2	2	1	2455
20100564	1	10.12.2019	4	4	1	3184
20100564	1	10.12.2019	1	5	0	19182
20100564	1	10.12.2019	4	2	0	6480
20100564	1	10.12.2019	1	2	0	5567
20100564	1	10.12.2019	3	3	1	1976
20100564	1	10.12.2019	1	4	0	11391
20100564	1	10.12.2019	1	1	1	9735
20100564	1	10.12.2019	1	5	0	7192
20100564	1	10.12.2019	1	4	0	5735
20100564	1	10.12.2019	1	1	1	8080
20100564	1	10.12.2019	1	1	1	14504
20100564	1	10.12.2019	1	3	0	5632
20100564	1	10.12.2019	1	3	0	11214
20100564	1	10.12.2019	1	5	0	41736
20100564	1	10.12.2019	1	1	1	17375
20100564	1	10.12.2019	4	4	1	15335
20100564	1	10.12.2019	1	5	0	720
20100564	1	10.12.2019	5	4	0	6360
20100564	1	10.12.2019	1	3	0	6430
20100564	1	10.12.2019	2	2	1	12287
20100564	1	10.12.2019	1	1	1	6889
20100564	1	10.12.2019	5	3	0	4172
20100564	1	10.12.2019	4	4	1	8422
20100564	1	10.12.2019	2	3	0	5400
20100564	1	10.12.2019	4	2	0	16047
20100564	1	10.12.2019	1	3	0	26088
20100564	1	10.12.2019	1	5	0	14848
20100564	1	10.12.2019	2	1	0	2759
20100564	1	10.12.2019	1	2	0	5288
20100564	1	10.12.2019	1	3	0	5656
20100564	1	10.12.2019	1	4	0	2913
20100564	1	10.12.2019	1	2	0	16168
