VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20200112	1	16.10.2018	5	5	1	2612
20200112	1	16.10.2018	3	3	1	4576
20200112	1	16.10.2018	2	2	1	2376
20200112	1	16.10.2018	4	4	1	4015
20200112	1	16.10.2018	5	5	1	3816
20200112	1	16.10.2018	2	2	1	2192
20200112	1	16.10.2018	2	2	1	2072
20200112	1	16.10.2018	3	3	1	2112
20200112	1	16.10.2018	4	4	1	2800
20200112	1	16.10.2018	1	1	1	3360
20200112	1	16.10.2018	5	5	1	2408
20200112	1	16.10.2018	4	4	1	3960
20200112	1	16.10.2018	1	1	1	4312
20200112	1	16.10.2018	1	1	1	1744
20200112	1	16.10.2018	3	3	1	2984
20200112	1	16.10.2018	3	3	1	1632
20200112	1	16.10.2018	5	5	1	3344
20200112	1	16.10.2018	5	1	0	9104
20200112	1	16.10.2018	4	4	1	4128
20200112	1	16.10.2018	4	5	0	7312
20200112	1	16.10.2018	4	4	1	2752
20200112	1	16.10.2018	3	3	1	4129
20200112	1	16.10.2018	2	2	1	1839
20200112	1	16.10.2018	1	1	1	1680
20200112	1	16.10.2018	3	3	1	3056
20200112	1	16.10.2018	4	4	1	2848
20200112	1	16.10.2018	2	3	0	7144
20200112	1	16.10.2018	2	2	1	2136
20200112	1	16.10.2018	2	3	0	7464
20200112	1	16.10.2018	3	5	0	6200
20200112	1	16.10.2018	2	1	0	8496
20200112	1	16.10.2018	2	2	1	1816
20200112	1	16.10.2018	3	3	1	3280
20200112	1	16.10.2018	3	4	0	2449
20200112	1	16.10.2018	2	2	1	7062
