VPID	SESSID	DATE	RESP	CRESP	ACC	RESPT
20200164	1	17.6.2019	3	3	1	3081
20200164	1	17.6.2019	5	5	1	3160
20200164	1	17.6.2019	2	2	1	2600
20200164	1	17.6.2019	4	4	1	3209
20200164	1	17.6.2019	1	1	1	2983
20200164	1	17.6.2019	4	4	1	2912
20200164	1	17.6.2019	3	3	1	5840
20200164	1	17.6.2019	3	3	1	3128
20200164	1	17.6.2019	4	4	1	2864
20200164	1	17.6.2019	3	3	1	2704
20200164	1	17.6.2019	1	1	1	2448
20200164	1	17.6.2019	1	1	1	1480
20200164	1	17.6.2019	4	4	1	2808
20200164	1	17.6.2019	4	4	1	2896
20200164	1	17.6.2019	1	1	1	2200
20200164	1	17.6.2019	1	1	1	1936
20200164	1	17.6.2019	5	5	1	4920
20200164	1	17.6.2019	2	2	1	2728
20200164	1	17.6.2019	2	2	1	3264
20200164	1	17.6.2019	4	4	1	3040
20200164	1	17.6.2019	4	4	1	3112
20200164	1	17.6.2019	3	3	1	2577
20200164	1	17.6.2019	4	4	1	2071
20200164	1	17.6.2019	4	4	1	1736
20200164	1	17.6.2019	3	3	1	2304
20200164	1	17.6.2019	1	1	1	1840
20200164	1	17.6.2019	0	2	0	3552
20200164	1	17.6.2019	0	4	0	0
20200164	1	17.6.2019	0	1	0	0
20200164	1	17.6.2019	0	3	0	0
20200164	1	17.6.2019	0	4	0	0
20200164	1	17.6.2019	0	5	0	0
20200164	1	17.6.2019	0	4	0	0
20200164	1	17.6.2019	0	2	0	0
20200164	1	17.6.2019	0	3	0	0
20200164	1	17.6.2019	0	4	0	0
20200164	1	17.6.2019	0	1	0	0
20200164	1	17.6.2019	0	4	0	0
20200164	1	17.6.2019	0	2	0	0
20200164	1	17.6.2019	0	1	0	0
20200164	1	17.6.2019	0	3	0	0
20200164	1	17.6.2019	0	5	0	0
20200164	1	17.6.2019	0	2	0	0
20200164	1	17.6.2019	0	5	0	0
20200164	1	17.6.2019	0	1	0	0
20200164	1	17.6.2019	0	1	0	0
